"start time", 224
"stop time", 266
"Time (s)","BCG","ECG ch1","ECG ch2"
0.383998,4287335134,16020846,13804915
0.384983,,16019985,13801677
0.385969,,16017074,13802620
0.386924,,16012744,13797135
0.387909,,16011687,13785944
0.388895,,16010200,13783634
0.389880,,16008778,13787135
0.390836,,16009297,13791419
0.391821,4287340990,16007620,13787751
0.392806,,16006131,13782034
0.393762,,16005276,13778827
0.394747,,16003732,13771367
0.395732,,16007923,13765975
0.396717,,16019861,13762890
0.397673,,16025857,13765118
0.398658,,16022678,13772664
0.399644,4287346548,16020237,13774924
0.402570,,16019375,13751429
0.403555,,16022725,13754751
0.404510,,16024605,13757725
0.405496,,16025288,13755762
0.406481,,16026494,13754128
0.407466,4287351109,16027414,13759142
0.408422,,16025156,13764675
0.409407,,16021306,13761135
0.410392,,16019520,13751621
0.411378,,16021172,13742319
0.412333,,16018755,13739421
0.413318,,16020352,13742939
0.414304,,16025317,13745771
0.415259,,16022207,13746805
0.416244,4287354131,16018337,13744095
0.417230,,16020884,13739603
0.418215,,16022965,13733169
0.419170,,16025015,13732306
0.420156,,16029670,13735624
0.421141,,16029580,13734303
0.422126,,16027450,13726192
0.423082,,16026345,13719873
0.424067,4287355340,16023334,13715609
0.425052,,16024304,13719919
0.426008,,16028896,13724979
0.426993,,16029666,13725527
0.427978,,16025394,13719242
0.428964,,16019653,13711600
0.429919,,16021934,13703150
0.430904,,16027147,13699259
0.431890,4287355006,16024365,13701964
0.432875,,16022074,13703437
0.433830,,16022881,13709399
0.434816,,16024536,13716834
0.435801,,16021320,13716875
0.436756,,16020412,13707154
0.437742,,16020014,13689309
0.438727,,16019935,13684652
0.439712,4287353622,16018066,13691389
0.440668,,16018344,13693886
0.443624,,16027354,13669833
0.444579,,16029455,13672395
0.445564,,16031865,13675113
0.446550,,16028430,13668440
0.447505,,16025435,13670265
0.448490,4287351559,16029804,13672012
0.449476,,16031812,13675060
0.450461,,16025493,13678326
0.451417,,16021611,13672650
0.452402,,16021229,13662647
0.453387,,16023829,13644449
0.454372,,16025072,13625513
0.455328,,16021310,13623640
0.456313,4287349200,16018909,13627283
0.457298,,16014425,13621585
0.458254,,16019121,13614153
0.459239,,16022465,13610690
0.460225,,16019735,13617790
0.461210,,16017779,13622911
0.462165,,16016866,13619122
0.463151,,16019278,13617807
0.464136,4287347321,16019315,13619617
0.465091,,16015949,13618135
0.466077,,16016710,13613525
0.467062,,16023489,13608649
0.468047,,16025245,13601064
0.469003,,16024563,13602348
0.469988,,16022800,13608106
0.470973,,16022227,13592436
0.471959,4287346538,16026434,13570289
0.472914,,16028396,13563758
0.473899,,16025255,13559714
0.474885,,16023160,13550634
0.475870,,16020632,13537199
0.476825,,16018920,13529660
0.477811,,16020944,13531569
0.478796,,16023992,13533817
0.479751,,16023730,13522157
0.480737,4287346345,16026557,13513626
0.483663,,16020516,13509289
0.484648,,16021375,13510354
0.485633,,16026626,13498497
0.486619,,16029029,13488002
0.487574,,16025655,13485962
0.488559,4287346047,16024134,13473682
0.489545,,16023689,13453338
0.490500,,16025487,13434174
0.491485,,16026107,13409745
0.492471,,16025581,13391839
0.493456,,16030099,13384790
0.494411,,16030437,13386062
0.495397,,16022289,13382665
0.496382,4287345748,16013880,13382715
0.497367,,16013956,13391704
0.498323,,16018412,13397674
0.499308,,16023036,13398277
0.500293,,16030272,13388400
0.501249,,16035486,13375028
0.502234,,16033470,13362458
0.503219,,16033741,13355514
0.504205,4287345266,16037630,13348405
0.505160,,16034307,13345734
0.506145,,16032336,13349867
0.507131,,16033294,13355262
0.508086,,16029459,13360942
0.509071,,16027872,13377190
0.510057,,16028079,13385843
0.511042,,16028771,13388373
0.511998,,16034098,13388710
0.512983,4287344297,16039258,13385456
0.513968,,16037632,13387544
0.514953,,16041237,13399674
0.515909,,16045047,13410135
0.516894,,16044787,13424292
0.517879,,16050226,13441749
0.518865,,16053493,13456679
0.519820,,16047848,13470050
0.520806,4287343247,16046092,13488450
0.521791,,16051081,13507030
0.524717,,16053580,13530114
0.525702,,16055474,13525784
0.526658,,16059139,13528285
0.527643,,16063018,13537537
0.528628,4287342191,16062868,13545719
0.529613,,16060885,13545898
0.530569,,16056980,13548974
0.531554,,16056012,13564554
0.532540,,16056534,13585039
0.533495,,16060292,13603029
0.534480,,16069310,13612889
0.535466,,16062550,13603749
0.536451,4287341079,16056514,13587988
0.537406,,16060518,13580452
0.538392,,16058595,13593086
0.539377,,16055904,13610504
0.540362,,16062824,13626721
0.541318,,16066772,13635885
0.542303,,16064090,13635874
0.543288,,16061460,13626739
0.544244,,16056982,13625736
0.545229,4287339845,16056779,13625242
0.546214,,16054970,13630115
0.547200,,16050944,13644849
0.548155,,16050125,13665065
0.549140,,16052029,13668032
0.550126,,16059164,13670335
0.551081,,16067805,13679660
0.552066,,16068047,13685299
0.553052,4287338425,16062811,13682342
0.554037,,16057993,13672592
0.554992,,16062287,13664332
0.555978,,16064840,13660557
0.556963,,16063637,13659652
0.557948,,16061319,13669177
0.558904,,16064207,13698214
0.559889,,16064804,13726657
0.560874,4287337141,16065044,13738527
0.561860,,16063985,13737069
0.564786,,16066032,13746555
0.565741,,16064585,13753740
0.566726,,16061948,13766518
0.567712,,16059655,13783925
0.568697,4287336270,16058026,13792683
0.569652,,16059352,13789879
0.570638,,16062647,13801090
0.571623,,16061702,13825443
0.572608,,16058084,13829777
0.573564,,16060804,13820789
0.574549,,16065843,13815585
0.575534,,16065409,13821617
0.576490,,16063522,13829604
0.577475,4287335401,16063125,13828615
0.578460,,16064537,13820005
0.579446,,16068210,13812626
0.580401,,16069199,13805880
0.581387,,16068312,13797105
0.582372,,16067500,13793821
0.583357,,16065764,13796130
0.584313,,16061766,13797771
0.585298,4287334884,16063788,13805064
0.586283,,16070290,13813930
0.587239,,16073402,13823834
0.588224,,16073369,13831721
0.589209,,16075277,13840456
0.590194,,16077642,13850196
0.591150,,16079787,13859938
0.592135,,16082012,13858495
0.593121,4287334803,16084079,13848321
0.594106,,16082411,13845622
0.595061,,16079189,13848847
0.596047,,16078099,13858315
0.597032,,16072145,13874042
0.597987,,16068529,13895643
0.598973,,16069127,13904686
0.599958,,16070210,13910703
0.600943,4287335002,16070245,13919984
0.601899,,16067655,13925948
0.604825,,16073694,13952885
0.605810,,16080808,13941587
0.606795,,16083040,13936953
0.607781,,16085110,13931863
0.608736,,16089123,13932102
0.609721,4287335365,16087782,13926315
0.610707,,16079402,13920794
0.611692,,16070162,13923312
0.612647,,16067103,13928906
0.613633,,16072412,13936379
0.614618,,16077092,13963006
0.615603,,16076976,13986382
0.616559,,16076782,13995247
0.617544,4287335864,16074426,13995441
0.618529,,16068125,13989510
0.619485,,16066988,13999134
0.620470,,16072823,14006312
0.621455,,16079607,14018701
0.622441,,16082489,14044415
0.623396,,16081624,14068197
0.624381,,16080388,14095737
0.625367,4287336522,16078604,14112994
0.626352,,16074358,14110352
0.627307,,16068308,14120884
0.628293,,16066182,14133974
0.629278,,16071927,14136398
0.630233,,16082168,14149153
0.631219,,16087368,14169431
0.632204,,16083012,14169637
0.633189,4287337279,16086854,14156204
0.634145,,16091133,14148285
0.635130,,16087440,14141785
0.636115,,16079145,14138519
0.637101,,16071729,14156692
0.638056,,16071439,14178947
0.639041,,16078827,14172590
0.640027,,16076022,14158030
0.640982,,16072601,14162130
0.641968,4287337987,16077171,14182240
0.642953,,16081629,14194613
0.645879,,16079880,14225840
0.646864,,16081266,14237688
0.647820,,16078925,14253496
0.648805,,16070329,14289994
0.649790,4287338453,16064729,14300649
0.650775,,16072370,14297083
0.651731,,16078620,14301582
0.652716,,16076879,14313281
0.653702,,16071674,14318022
0.654687,,16071514,14323085
0.655642,,16074826,14346199
0.656628,,16073382,14355567
0.657613,4287338726,16073690,14352171
0.658568,,16078090,14358546
0.659554,,16079560,14375734
0.660539,,16081737,14385441
0.661524,,16079884,14383220
0.662480,,16070920,14394178
0.663465,,16064340,14408417
0.664450,,16070764,14418951
0.665436,4287339043,16075102,14424068
0.666391,,16073886,14435096
0.667376,,16069286,14439787
0.668362,,16064106,14436745
0.669347,,16066307,14444390
0.670302,,16071049,14444634
0.671288,,16068676,14456448
0.672273,,16068894,14487117
0.673228,,16074076,14501725
0.674214,4287339581,16084132,14498195
0.675199,,16087033,14502467
0.676184,,16082333,14510729
0.677140,,16076697,14497763
0.678125,,16073388,14473476
0.679110,,16075365,14457399
0.680066,,16077394,14442578
0.681051,,16075163,14416344
0.682036,4287340113,16066579,14389690
0.683022,,16063992,14375867
0.685948,,16080803,14371414
0.686933,,16074973,14382138
0.687888,,16075938,14375602
0.688874,,16078689,14368241
0.689859,4287340687,16072460,14367695
0.690814,,16069507,14366124
0.691800,,16071841,14349816
0.692785,,16076232,14337949
0.693770,,16073915,14331327
0.694726,,16072095,14323963
0.695711,,16071110,14323842
0.696696,,16069300,14334478
0.697682,4287341169,16071405,14349903
0.698637,,16076188,14366109
0.699622,,16081065,14366940
0.700608,,16084832,14362613
0.701563,,16090895,14360316
0.702549,,16090695,14356745
0.703534,,16081289,14345737
0.704519,,16074477,14350527
0.705475,,16080937,14346140
0.706460,4287341261,16074520,14337055
0.707445,,16065428,14327158
0.708430,,16062260,14311897
0.709386,,16059679,14285442
0.710371,,16061154,14274102
0.711356,,16063668,14276894
0.712312,,16062670,14273783
0.713297,,16055140,14249786
0.714283,4287341089,16051150,14228822
0.715268,,16051354,14230977
0.716223,,16054127,14220028
0.717209,,16054382,14208635
0.718194,,16054758,14192532
0.719179,,16057088,14175201
0.720135,,16063489,14176655
0.721120,,16070485,14172226
0.722105,4287340840,16077524,14147963
0.723061,,16082605,14132625
0.726017,,16082784,14112893
0.726972,,16088634,14106275
0.727957,,16092114,14101375
0.728943,,16093091,14097999
0.729928,4287340919,16098680,14095326
0.730883,,16104512,14096098
0.731869,,16103606,14095724
0.732854,,16112549,14095500
0.733809,,16121547,14097448
0.734795,,16120940,14102679
0.735780,,16115985,14105622
0.736765,,16117127,14103295
0.737721,,16117987,14100056
0.738706,4287340484,16115134,14095738
0.739691,,16113149,14090720
0.740677,,16110476,14089120
0.741632,,16113063,14089893
0.742617,,16120208,14084845
0.743603,,16119839,14070624
0.744558,,16112141,14047040
0.745543,,16107991,14039902
0.746529,4287339478,16103732,14048271
0.747514,,16101762,14053764
0.748469,,16102699,14056101
0.749455,,16104167,14056232
0.750440,,16105181,14049107
0.751425,,16109170,14038760
0.752381,,16108265,14042505
0.753366,,16105895,14041710
0.754351,4287338263,16106970,14025282
0.755307,,16110530,14015989
0.756292,,16114138,14020359
0.757277,,16108934,14030819
0.758263,,16105412,14036879
0.759218,,16106479,14032735
0.760203,,16110894,14021785
0.761189,,16112063,14014777
0.762174,4287336896,16107580,14009650
0.763130,,16101592,14002817
0.764115,,16098242,14001502
0.767041,,16102972,13991506
0.768026,,16098989,13986874
0.769011,,16097192,13981168
0.769967,,16093623,13976604
0.770952,4287335781,16084151,13974294
0.771937,,16081399,13979290
0.772923,,16084780,13982887
0.773878,,16089876,13984810
0.774864,,16092002,13981273
0.775849,,16098446,13973876
0.776804,,16105054,13963589
0.777790,,16101417,13960313
0.778775,4287335227,16097383,13964619
0.779760,,16091694,13965564
0.780716,,16088704,13961899
0.781701,,16091589,13960509
0.782686,,16091110,13957307
0.783672,,16092042,13958302
0.784627,,16092710,13956695
0.785612,,16096223,13951902
0.786598,4287335264,16101478,13951444
0.787553,,16106417,13950665
0.788538,,16107714,13948275
0.789524,,16103120,13942876
0.790509,,16096023,13940314
0.791464,,16086608,13943119
0.792450,,16086769,13941594
0.793435,,16095433,13937765
0.794420,4287335651,16098265,13932565
0.795376,,16095417,13928824
0.796361,,16090647,13928211
0.797346,,16083160,13930875
0.798302,,16073793,13932784
0.799287,,16069299,13931450
0.800272,,16072916,13928175
0.801258,,16081470,13924375
0.802213,,16081189,13919219
0.803198,4287335940,16075297,13914527
0.804184,,16076730,13910801
0.807110,,16077781,13891968
0.808095,,16081959,13880718
0.809050,,16080599,13868113
0.810036,,16074659,13855624
0.811021,4287336022,16068508,13848809
0.812006,,16067660,13844650
0.812962,,16064097,13836055
0.813947,,16057086,13829049
0.814932,,16060944,13824962
0.815918,,16065621,13825318
0.816873,,16065538,13829870
0.817858,,16067136,13827597
0.818844,4287335769,16061760,13818059
0.819799,,16054101,13807818
0.820784,,16057840,13792891
0.821770,,16057941,13782242
0.822755,,16054624,13777205
0.823711,,16056316,13775290
0.824696,,16053385,13775754
0.825681,,16052192,13776821
0.826666,4287335172,16053728,13783729
0.827622,,16056220,13788942
0.828607,,16058349,13784548
0.829592,,16053474,13781907
0.830548,,16046834,13779652
0.831533,,16051600,13777177
0.832518,,16053455,13779042
0.833504,,16045526,13779949
0.834459,,16037328,13775077
0.835445,4287334883,16034189,13772818
0.836430,,16034759,13775802
0.837415,,16028844,13776985
0.838371,,16017513,13780530
0.839356,,16014524,13780609
0.840341,,16018580,13774370
0.841297,,16021704,13767190
0.842282,,16024806,13765980
0.843267,4287334797,16020218,13773406
0.844253,,16012887,13775492
0.845208,,16016827,13777232
0.848164,,16023642,13771995
0.849119,,16026510,13773869
0.850105,,16028755,13779381
0.851090,4287334596,16028727,13782739
0.852045,,16020967,13780743
0.853031,,16011313,13778837
0.854016,,16004025,13778908
0.855001,,16009389,13773155
0.855957,,16015815,13765785
0.856942,,16016607,13765180
0.857927,,16016087,13769860
0.858913,,16016726,13765592
0.859868,4287334602,16008555,13756490
0.860853,,15994262,13755414
0.861839,,15987187,13764318
0.862794,,15993119,13767672
0.863779,,15988739,13766069
0.864765,,15985145,13766535
0.865750,,15984367,13768665
0.866705,,15991147,13770747
0.867691,4287335123,15994305,13770452
0.868676,,15993777,13768391
0.869661,,15990520,13771242
0.870617,,15989474,13776657
0.871602,,15995655,13774164
0.872587,,15999665,13761930
0.873543,,15995172,13753345
0.874528,,15993145,13755355
0.875513,4287336227,15995367,13753612
0.876499,,15985229,13748706
0.877454,,15968823,13742095
0.878439,,15963092,13741837
0.879425,,15965767,13748880
0.880410,,15975199,13750010
0.881365,,15977789,13749994
0.882351,,15965830,13753407
0.883336,4287337553,15961418,13757717
0.884292,,15966962,13759602
0.885277,,15975962,13756388
0.888203,,15977820,13744759
0.889188,,15988805,13736724
0.890173,,15979379,13730622
0.891159,,15964298,13732869
0.892114,4287338926,15970014,13738427
0.893099,,15973047,13740097
0.894085,,15971626,13733652
0.895040,,15969487,13728183
0.896026,,15969675,13721761
0.897011,,15972845,13717452
0.897996,,15973959,13718919
0.898952,,15965684,13717759
0.899937,4287340443,15959877,13719748
0.900922,,15962755,13725759
0.901907,,15960122,13727787
0.902863,,15955457,13724052
0.903848,,15958488,13718622
0.904834,,15967623,13718654
0.905789,,15972857,13719210
0.906774,,15973218,13721265
0.907760,4287341992,15968839,13720617
0.908745,,15958203,13720829
0.909700,,15950111,13719584
0.910686,,15944246,13721545
0.911671,,15944830,13722485
0.912626,,15944822,13721586
0.913612,,15947571,13721464
0.914597,,15951249,13722782
0.915582,4287343381,15952789,13722520
0.916538,,15955161,13725331
0.917523,,15953715,13723324
0.918508,,15948486,13716879
0.919494,,15951529,13716322
0.920449,,15953006,13716019
0.921434,,15948093,13714734
0.922420,,15944905,13715455
0.923375,,15951292,13716546
0.924360,4287344235,15953964,13716140
0.925346,,15958379,13716836
0.928272,,15975247,13720297
0.929257,,15961493,13724467
0.930242,,15952563,13722969
0.931198,,15954627,13715085
0.932183,4287344188,15960912,13712655
0.933168,,15955444,13709088
0.934154,,15947348,13706977
0.935109,,15950394,13710310
0.936094,,15948154,13705877
0.937080,,15940797,13704107
0.938035,,15942905,13709135
0.939020,,15939236,13718159
0.940006,4287343382,15940939,13720374
0.940991,,15941889,13715996
0.941946,,15934915,13705975
0.942932,,15932069,13695709
0.943917,,15928702,13696366
0.944902,,15922374,13697922
0.945858,,15914434,13698097
0.946843,,15910075,13698997
0.947828,4287341906,15912782,13698527
0.948784,,15910407,13698048
0.949769,,15902188,13701428
0.950754,,15900173,13706752
0.951740,,15894777,13713253
0.952695,,15888774,13714062
0.953680,,15891349,13715424
0.954666,,15897737,13718011
0.955651,,15886904,13715363
0.956607,4287340173,15873495,13713124
0.957592,,15868835,13716622
0.958577,,15879883,13716196
0.959533,,15887268,13712264
